iter	Passed	Remaining
1627	16229	83460
1628	16238	83445
1629	16246	83426
1630	16256	83413
1631	16264	83396
1632	16273	83382
1633	16283	83369
1634	16292	83353
1635	16303	83350
1636	16313	83341
1637	16323	83332
1638	16333	83324
1639	16342	83305
1640	16351	83291
1641	16360	83276
1642	16368	83258
1643	16377	83240
1644	16388	83239
1645	16402	83248
1646	16411	83232
1647	16421	83222
1648	16431	83211
1649	16448	83239
1650	16458	83228
1651	16466	83209
1652	16476	83198
1653	16485	83187
1654	16494	83167
1655	16503	83154
1656	16510	83132
1657	16520	83122
1658	16530	83108
1659	16539	83094
1660	16550	83092
1661	16561	83084
1662	16571	83077
1663	16581	83068
1664	16590	83054
1665	16601	83045
1666	16610	83033
